new_index,threads,files, per_requests,sequential_percent,identifiers,requests_bytes,inter_time,process_time,seed,generate_time,all_requests,thoughput,aioli,mlf,noop,sjf,to,toagg,twins,new_index
0,100,50,40,0,4,1048576,10000,10000,1,213933777,4000,18697,1,,,,,,,0
1,100,50,40,0,4,1048576,10000,10000,1,216439880,4000,18480,1,,,,,,,1
2,100,50,40,0,4,1048576,10000,10000,1,219226314,4000,18245,1,,,,,,,2
3,100,50,40,0,4,1048576,10000,10000,1,218299632,4000,18323,1,,,,,,,3
4,100,50,40,0,4,1048576,10000,10000,1,217286602,4000,18408,1,,,,,,,4
5,100,50,40,0,4,1048576,10000,10000,1,220079178,4000,18175,1,,,,,,,5
6,100,50,40,0,4,1048576,10000,10000,1,222795051,4000,17953,1,,,,,,,6
7,100,50,40,0,4,1048576,10000,10000,1,222482966,4000,17978,1,,,,,,,7
8,100,50,40,0,4,1048576,10000,10000,1,225336271,4000,17751,1,,,,,,,8
9,100,50,40,0,4,1048576,10000,10000,1,224640365,4000,17806,1,,,,,,,9
10,100,50,40,25,4,1048576,10000,10000,1,199303435,4000,20069,1,,,,,,,10
11,100,50,40,25,4,1048576,10000,10000,1,205114223,4000,19501,1,,,,,,,11
12,100,50,40,25,4,1048576,10000,10000,1,206507318,4000,19369,1,,,,,,,12
13,100,50,40,25,4,1048576,10000,10000,1,206074320,4000,19410,1,,,,,,,13
14,100,50,40,25,4,1048576,10000,10000,1,205719336,4000,19443,1,,,,,,,14
15,100,50,40,25,4,1048576,10000,10000,1,205642704,4000,19451,1,,,,,,,15
16,100,50,40,25,4,1048576,10000,10000,1,206413380,4000,19378,1,,,,,,,16
17,100,50,40,25,4,1048576,10000,10000,1,207320473,4000,19293,1,,,,,,,17
18,100,50,40,25,4,1048576,10000,10000,1,208362351,4000,19197,1,,,,,,,18
19,100,50,40,25,4,1048576,10000,10000,1,207228497,4000,19302,1,,,,,,,19
20,100,50,40,50,4,1048576,10000,10000,1,193069937,4000,20717,1,,,,,,,20
21,100,50,40,50,4,1048576,10000,10000,1,195081166,4000,20504,1,,,,,,,21
22,100,50,40,50,4,1048576,10000,10000,1,196186170,4000,20388,1,,,,,,,22
23,100,50,40,50,4,1048576,10000,10000,1,195582165,4000,20451,1,,,,,,,23
24,100,50,40,50,4,1048576,10000,10000,1,197889037,4000,20213,1,,,,,,,24
25,100,50,40,50,4,1048576,10000,10000,1,196493493,4000,20356,1,,,,,,,25
26,100,50,40,50,4,1048576,10000,10000,1,197281521,4000,20275,1,,,,,,,26
27,100,50,40,50,4,1048576,10000,10000,1,197882844,4000,20213,1,,,,,,,27
28,100,50,40,50,4,1048576,10000,10000,1,197308672,4000,20272,1,,,,,,,28
29,100,50,40,50,4,1048576,10000,10000,1,203678939,4000,19638,1,,,,,,,29
30,100,50,40,75,4,1048576,10000,10000,1,182368195,4000,21933,1,,,,,,,30
31,100,50,40,75,4,1048576,10000,10000,1,185876804,4000,21519,1,,,,,,,31
32,100,50,40,75,4,1048576,10000,10000,1,185550081,4000,21557,1,,,,,,,32
33,100,50,40,75,4,1048576,10000,10000,1,187874537,4000,21290,1,,,,,,,33
34,100,50,40,75,4,1048576,10000,10000,1,186763846,4000,21417,1,,,,,,,34
35,100,50,40,75,4,1048576,10000,10000,1,188295190,4000,21243,1,,,,,,,35
36,100,50,40,75,4,1048576,10000,10000,1,188846117,4000,21181,1,,,,,,,36
37,100,50,40,75,4,1048576,10000,10000,1,189025466,4000,21161,1,,,,,,,37
38,100,50,40,75,4,1048576,10000,10000,1,192635477,4000,20764,1,,,,,,,38
39,100,50,40,75,4,1048576,10000,10000,1,190215732,4000,21028,1,,,,,,,39
40,100,50,40,100,4,1048576,10000,10000,1,172261999,4000,23220,1,,,,,,,40
41,100,50,40,100,4,1048576,10000,10000,1,175159051,4000,22836,1,,,,,,,41
42,100,50,40,100,4,1048576,10000,10000,1,174155806,4000,22967,1,,,,,,,42
43,100,50,40,100,4,1048576,10000,10000,1,177293290,4000,22561,1,,,,,,,43
44,100,50,40,100,4,1048576,10000,10000,1,176836000,4000,22619,1,,,,,,,44
45,100,50,40,100,4,1048576,10000,10000,1,178495891,4000,22409,1,,,,,,,45
46,100,50,40,100,4,1048576,10000,10000,1,179351009,4000,22302,1,,,,,,,46
47,100,50,40,100,4,1048576,10000,10000,1,178961261,4000,22351,1,,,,,,,47
48,100,50,40,100,4,1048576,10000,10000,1,178630900,4000,22392,1,,,,,,,48
49,100,50,40,100,4,1048576,10000,10000,1,182333519,4000,21937,1,,,,,,,49
50,100,50,40,0,4,1048576,10000,10000,1,165291479,4000,24199,,1,,,,,,50
51,100,50,40,0,4,1048576,10000,10000,1,165098830,4000,24227,,1,,,,,,51
52,100,50,40,0,4,1048576,10000,10000,1,167634113,4000,23861,,1,,,,,,52
53,100,50,40,0,4,1048576,10000,10000,1,167144916,4000,23931,,1,,,,,,53
54,100,50,40,0,4,1048576,10000,10000,1,168301166,4000,23766,,1,,,,,,54
55,100,50,40,0,4,1048576,10000,10000,1,166776815,4000,23984,,1,,,,,,55
56,100,50,40,0,4,1048576,10000,10000,1,165704349,4000,24139,,1,,,,,,56
57,100,50,40,0,4,1048576,10000,10000,1,167132561,4000,23933,,1,,,,,,57
58,100,50,40,0,4,1048576,10000,10000,1,167395615,4000,23895,,1,,,,,,58
59,100,50,40,0,4,1048576,10000,10000,1,169750158,4000,23564,,1,,,,,,59
60,100,50,40,25,4,1048576,10000,10000,1,165716146,4000,24137,,1,,,,,,60
61,100,50,40,25,4,1048576,10000,10000,1,167876836,4000,23826,,1,,,,,,61
62,100,50,40,25,4,1048576,10000,10000,1,168327554,4000,23763,,1,,,,,,62
63,100,50,40,25,4,1048576,10000,10000,1,168787607,4000,23698,,1,,,,,,63
64,100,50,40,25,4,1048576,10000,10000,1,168655951,4000,23716,,1,,,,,,64
65,100,50,40,25,4,1048576,10000,10000,1,168657822,4000,23716,,1,,,,,,65
66,100,50,40,25,4,1048576,10000,10000,1,170178330,4000,23504,,1,,,,,,66
67,100,50,40,25,4,1048576,10000,10000,1,170406014,4000,23473,,1,,,,,,67
68,100,50,40,25,4,1048576,10000,10000,1,170885106,4000,23407,,1,,,,,,68
69,100,50,40,25,4,1048576,10000,10000,1,169737077,4000,23565,,1,,,,,,69
70,100,50,40,50,4,1048576,10000,10000,1,167878505,4000,23826,,1,,,,,,70
71,100,50,40,50,4,1048576,10000,10000,1,169225997,4000,23637,,1,,,,,,71
72,100,50,40,50,4,1048576,10000,10000,1,172120964,4000,23239,,1,,,,,,72
73,100,50,40,50,4,1048576,10000,10000,1,172333819,4000,23210,,1,,,,,,73
74,100,50,40,50,4,1048576,10000,10000,1,170998122,4000,23392,,1,,,,,,74
75,100,50,40,50,4,1048576,10000,10000,1,172553925,4000,23181,,1,,,,,,75
76,100,50,40,50,4,1048576,10000,10000,1,172876198,4000,23137,,1,,,,,,76
77,100,50,40,50,4,1048576,10000,10000,1,173444885,4000,23062,,1,,,,,,77
78,100,50,40,50,4,1048576,10000,10000,1,176477616,4000,22665,,1,,,,,,78
79,100,50,40,50,4,1048576,10000,10000,1,179676744,4000,22262,,1,,,,,,79
80,100,50,40,75,4,1048576,10000,10000,1,161883493,4000,24709,,1,,,,,,80
81,100,50,40,75,4,1048576,10000,10000,1,165105613,4000,24226,,1,,,,,,81
