,noop,aioli,mlf,sjf,to,toagg,twins,idxmax
0,1880.1818181818182,21657.363636363636,21443.0,22765.727272727272,22348.363636363636,16077.545454545454,22284.909090909092,sjf
1,1912.6363636363637,21254.090909090908,20809.18181818182,22333.18181818182,22101.363636363636,16701.636363636364,21904.81818181818,sjf
2,1875.5454545454545,20978.090909090908,20394.363636363636,22496.81818181818,22102.727272727272,16343.636363636364,22439.636363636364,sjf
3,1867.909090909091,21368.272727272728,21339.81818181818,22719.727272727272,22497.18181818182,16439.81818181818,22029.272727272728,sjf
4,1942.4545454545455,22465.81818181818,22031.727272727272,23251.090909090908,23312.81818181818,16199.363636363636,22942.727272727272,to
5,1848.0,20422.18181818182,21418.545454545456,23165.272727272728,22400.18181818182,16569.545454545456,21800.0,sjf
6,1868.909090909091,20011.636363636364,20815.636363636364,22936.363636363636,22197.636363636364,16853.272727272728,22020.363636363636,sjf
7,1864.4545454545455,20552.636363636364,20863.909090909092,23291.545454545456,22228.18181818182,16314.727272727272,22444.545454545456,sjf
8,1887.8181818181818,20435.18181818182,20998.18181818182,23353.090909090908,22415.363636363636,16395.636363636364,22588.81818181818,sjf
9,1882.8181818181818,20999.454545454544,21423.727272727272,23086.454545454544,22286.727272727272,15895.636363636364,23046.727272727272,sjf
10,1894.0,20386.727272727272,20313.454545454544,22431.909090909092,22039.636363636364,16579.363636363636,22350.727272727272,sjf
11,1852.3636363636363,20494.363636363636,19706.81818181818,22187.636363636364,22198.727272727272,16584.545454545456,22089.454545454544,to
12,1869.909090909091,19752.454545454544,19681.363636363636,22736.454545454544,22684.363636363636,16090.454545454546,22376.81818181818,sjf
13,1882.3636363636363,20526.272727272728,19287.0,22114.272727272728,22754.636363636364,16589.81818181818,22649.636363636364,to
14,1914.090909090909,19255.363636363636,21066.636363636364,23455.81818181818,23190.18181818182,16294.90909090909,22785.090909090908,sjf
15,1894.8181818181818,19209.545454545456,18897.0,22840.454545454544,22206.727272727272,16868.0,22571.636363636364,sjf
16,1878.909090909091,19164.81818181818,19086.545454545456,22609.0,22254.0,17012.454545454544,22547.545454545456,sjf
17,1899.4545454545455,19384.454545454544,18837.090909090908,23081.090909090908,22452.909090909092,16658.090909090908,22391.090909090908,sjf
18,1903.5454545454545,19272.090909090908,17766.363636363636,23108.909090909092,22610.18181818182,16966.0,22582.81818181818,sjf
19,1930.1818181818182,18256.454545454544,19321.18181818182,23272.363636363636,23354.727272727272,16604.0,22812.81818181818,to
20,1875.4545454545455,19151.090909090908,17362.272727272728,22797.81818181818,22384.909090909092,17988.272727272728,21957.272727272728,sjf
21,1896.5454545454545,19303.909090909092,17458.727272727272,22591.636363636364,22994.727272727272,17850.909090909092,21723.454545454544,to
22,1897.1818181818182,19274.81818181818,16761.0,22453.363636363636,22048.090909090908,18248.909090909092,21810.0,sjf
23,1866.3636363636363,18923.454545454544,17208.545454545456,22945.81818181818,22382.090909090908,17712.454545454544,21796.272727272728,sjf
24,1897.2727272727273,18814.272727272728,18282.0,23057.272727272728,23216.909090909092,17828.81818181818,22968.636363636364,to
25,1872.6363636363637,21122.636363636364,19129.454545454544,22835.909090909092,21831.454545454544,16985.454545454544,21767.81818181818,sjf
26,1877.7272727272727,20691.545454545456,19494.090909090908,22965.18181818182,21704.636363636364,17385.636363636364,22093.363636363636,sjf
27,1911.0,20916.727272727272,20110.0,23406.0,21680.909090909092,16942.090909090908,22415.636363636364,sjf
28,1857.7272727272727,21146.454545454544,19165.81818181818,23267.636363636364,22752.545454545456,16549.18181818182,22587.636363636364,sjf
29,1936.8181818181818,20151.272727272728,20798.272727272728,23183.636363636364,23414.727272727272,16866.18181818182,23354.363636363636,to
30,1889.909090909091,20892.0,19348.0,23038.272727272728,22212.0,17158.18181818182,22324.545454545456,sjf
31,1900.090909090909,20118.727272727272,19624.81818181818,23181.545454545456,22406.636363636364,17401.090909090908,21702.909090909092,sjf
32,1839.2727272727273,20732.81818181818,19924.454545454544,22849.545454545456,21866.363636363636,16618.454545454544,22138.454545454544,sjf
33,1885.2727272727273,21078.909090909092,19400.727272727272,22512.636363636364,22139.81818181818,16616.0,22763.545454545456,twins
34,1930.2727272727273,20293.363636363636,20423.454545454544,23364.727272727272,23535.454545454544,16715.545454545456,23040.090909090908,to
