,threads,files, per_requests,sequential_percent,identifiers,requests_bytes,inter_time,process_time,seed,generate_time,all_requests,thoughput,sjf
0,100,10,10,0,4,65536,100,10000,1,42537108,1000,23508,1
1,100,10,10,0,4,65536,100,10000,1,42588277,1000,23480,1
2,100,10,10,0,4,65536,100,10000,1,43005579,1000,23252,1
3,100,10,10,0,4,65536,100,10000,1,43276339,1000,23107,1
4,100,10,10,0,4,65536,100,10000,1,44099671,1000,22675,1
5,100,10,10,0,4,65536,100,10000,1,44614087,1000,22414,1
6,100,10,10,0,4,65536,100,10000,1,43713407,1000,22876,1
7,100,10,10,0,4,65536,100,10000,1,45227044,1000,22110,1
8,100,10,10,0,4,65536,100,10000,1,45158499,1000,22144,1
9,100,10,10,0,4,65536,100,10000,1,45509178,1000,21973,1
10,100,10,10,0,4,65536,1000,10000,1,43698602,1000,22884,1
11,100,10,10,0,4,65536,1000,10000,1,44528658,1000,22457,1
12,100,10,10,0,4,65536,1000,10000,1,45332950,1000,22059,1
13,100,10,10,0,4,65536,1000,10000,1,43660309,1000,22904,1
14,100,10,10,0,4,65536,1000,10000,1,44746034,1000,22348,1
15,100,10,10,0,4,65536,1000,10000,1,44333366,1000,22556,1
16,100,10,10,0,4,65536,1000,10000,1,44082241,1000,22684,1
17,100,10,10,0,4,65536,1000,10000,1,44685264,1000,22378,1
18,100,10,10,0,4,65536,1000,10000,1,44355918,1000,22544,1
19,100,10,10,0,4,65536,1000,10000,1,49472864,1000,20213,1
20,100,10,10,0,4,65536,10000,10000,1,44171722,1000,22638,1
21,100,10,10,0,4,65536,10000,10000,1,43974932,1000,22740,1
22,100,10,10,0,4,65536,10000,10000,1,43375617,1000,23054,1
23,100,10,10,0,4,65536,10000,10000,1,43178173,1000,23159,1
24,100,10,10,0,4,65536,10000,10000,1,43668812,1000,22899,1
25,100,10,10,0,4,65536,10000,10000,1,44472652,1000,22485,1
26,100,10,10,0,4,65536,10000,10000,1,44666584,1000,22388,1
27,100,10,10,0,4,65536,10000,10000,1,45797137,1000,21835,1
28,100,10,10,0,4,65536,10000,10000,1,45098025,1000,22173,1
29,100,10,10,0,4,65536,10000,10000,1,47864100,1000,20892,1
30,100,10,10,0,4,65536,100000,10000,1,43099271,1000,23202,1
31,100,10,10,0,4,65536,100000,10000,1,44142747,1000,22653,1
32,100,10,10,0,4,65536,100000,10000,1,44166133,1000,22641,1
33,100,10,10,0,4,65536,100000,10000,1,43659534,1000,22904,1
34,100,10,10,0,4,65536,100000,10000,1,44563973,1000,22439,1
35,100,10,10,0,4,65536,100000,10000,1,44086187,1000,22682,1
36,100,10,10,0,4,65536,100000,10000,1,43667528,1000,22900,1
37,100,10,10,0,4,65536,100000,10000,1,45675300,1000,21893,1
38,100,10,10,0,4,65536,100000,10000,1,43787378,1000,22837,1
39,100,10,10,0,4,65536,100000,10000,1,45564733,1000,21946,1
40,100,10,10,0,4,65536,1000000,10000,1,41980703,1000,23820,1
41,100,10,10,0,4,65536,1000000,10000,1,42908333,1000,23305,1
42,100,10,10,0,4,65536,1000000,10000,1,42974009,1000,23269,1
43,100,10,10,0,4,65536,1000000,10000,1,43391345,1000,23046,1
44,100,10,10,0,4,65536,1000000,10000,1,42430202,1000,23568,1
45,100,10,10,0,4,65536,1000000,10000,1,43098689,1000,23202,1
46,100,10,10,0,4,65536,1000000,10000,1,43215694,1000,23139,1
47,100,10,10,0,4,65536,1000000,10000,1,43351625,1000,23067,1
48,100,10,10,0,4,65536,1000000,10000,1,43112818,1000,23194,1
49,100,10,10,0,4,65536,1000000,10000,1,44784148,1000,22329,1
50,100,10,10,0,4,262144,100,10000,1,41975080,1000,23823,1
51,100,10,10,0,4,262144,100,10000,1,42429078,1000,23568,1
52,100,10,10,0,4,262144,100,10000,1,43778531,1000,22842,1
53,100,10,10,0,4,262144,100,10000,1,43134916,1000,23183,1
54,100,10,10,0,4,262144,100,10000,1,43828285,1000,22816,1
55,100,10,10,0,4,262144,100,10000,1,43132393,1000,23184,1
56,100,10,10,0,4,262144,100,10000,1,42991268,1000,23260,1
57,100,10,10,0,4,262144,100,10000,1,42938694,1000,23289,1
58,100,10,10,0,4,262144,100,10000,1,43083518,1000,23210,1
59,100,10,10,0,4,262144,100,10000,1,45306578,1000,22071,1
60,100,10,10,0,4,262144,1000,10000,1,42423018,1000,23572,1
61,100,10,10,0,4,262144,1000,10000,1,42747282,1000,23393,1
62,100,10,10,0,4,262144,1000,10000,1,42703114,1000,23417,1
63,100,10,10,0,4,262144,1000,10000,1,43230538,1000,23131,1
64,100,10,10,0,4,262144,1000,10000,1,44102736,1000,22674,1
65,100,10,10,0,4,262144,1000,10000,1,43896419,1000,22780,1
66,100,10,10,0,4,262144,1000,10000,1,44121525,1000,22664,1
67,100,10,10,0,4,262144,1000,10000,1,45236883,1000,22105,1
68,100,10,10,0,4,262144,1000,10000,1,45249165,1000,22099,1
69,100,10,10,0,4,262144,1000,10000,1,43951100,1000,22752,1
70,100,10,10,0,4,262144,10000,10000,1,42169990,1000,23713,1
71,100,10,10,0,4,262144,10000,10000,1,42460142,1000,23551,1
72,100,10,10,0,4,262144,10000,10000,1,42452155,1000,23555,1
73,100,10,10,0,4,262144,10000,10000,1,42760474,1000,23386,1
74,100,10,10,0,4,262144,10000,10000,1,42128509,1000,23736,1
75,100,10,10,0,4,262144,10000,10000,1,43763066,1000,22850,1
76,100,10,10,0,4,262144,10000,10000,1,43907752,1000,22775,1
77,100,10,10,0,4,262144,10000,10000,1,43563914,1000,22954,1
78,100,10,10,0,4,262144,10000,10000,1,42900988,1000,23309,1
79,100,10,10,0,4,262144,10000,10000,1,44344828,1000,22550,1
80,100,10,10,0,4,262144,100000,10000,1,41966795,1000,23828,1
81,100,10,10,0,4,262144,100000,10000,1,42094359,1000,23756,1
82,100,10,10,0,4,262144,100000,10000,1,43321082,1000,23083,1
83,100,10,10,0,4,262144,100000,10000,1,43606297,1000,22932,1
84,100,10,10,0,4,262144,100000,10000,1,42667725,1000,23436,1
85,100,10,10,0,4,262144,100000,10000,1,42693293,1000,23422,1
86,100,10,10,0,4,262144,100000,10000,1,42372700,1000,23600,1
87,100,10,10,0,4,262144,100000,10000,1,43040750,1000,23233,1
88,100,10,10,0,4,262144,100000,10000,1,43711500,1000,22877,1
89,100,10,10,0,4,262144,100000,10000,1,43858163,1000,22800,1
90,100,10,10,0,4,262144,1000000,10000,1,41809813,1000,23917,1
91,100,10,10,0,4,262144,1000000,10000,1,42340796,1000,23617,1
92,100,10,10,0,4,262144,1000000,10000,1,42396356,1000,23586,1
93,100,10,10,0,4,262144,1000000,10000,1,42819663,1000,23353,1
94,100,10,10,0,4,262144,1000000,10000,1,42578075,1000,23486,1
95,100,10,10,0,4,262144,1000000,10000,1,43883136,1000,22787,1
96,100,10,10,0,4,262144,1000000,10000,1,42587606,1000,23481,1
97,100,10,10,0,4,262144,1000000,10000,1,43438515,1000,23021,1
98,100,10,10,0,4,262144,1000000,10000,1,44000518,1000,22727,1
99,100,10,10,0,4,262144,1000000,10000,1,47323570,1000,21131,1
100,100,10,10,0,4,1048576,100,10000,1,43772206,1000,22845,1
101,100,10,10,0,4,1048576,100,10000,1,44701997,1000,22370,1
102,100,10,10,0,4,1048576,100,10000,1,44752863,1000,22344,1
103,100,10,10,0,4,1048576,100,10000,1,43961700,1000,22747,1
104,100,10,10,0,4,1048576,100,10000,1,44511148,1000,22466,1
105,100,10,10,0,4,1048576,100,10000,1,44019801,1000,22717,1
106,100,10,10,0,4,1048576,100,10000,1,45666421,1000,21897,1
107,100,10,10,0,4,1048576,100,10000,1,45177776,1000,22134,1
108,100,10,10,0,4,1048576,100,10000,1,44100951,1000,22675,1
109,100,10,10,0,4,1048576,100,10000,1,44750048,1000,22346,1
110,100,10,10,0,4,1048576,1000,10000,1,45023539,1000,22210,1
111,100,10,10,0,4,1048576,1000,10000,1,43506414,1000,22985,1
112,100,10,10,0,4,1048576,1000,10000,1,45248688,1000,22100,1
113,100,10,10,0,4,1048576,1000,10000,1,45378374,1000,22036,1
114,100,10,10,0,4,1048576,1000,10000,1,45573886,1000,21942,1
115,100,10,10,0,4,1048576,1000,10000,1,45080161,1000,22182,1
116,100,10,10,0,4,1048576,1000,10000,1,45226605,1000,22110,1
117,100,10,10,0,4,1048576,1000,10000,1,45028233,1000,22208,1
118,100,10,10,0,4,1048576,1000,10000,1,45582236,1000,21938,1
119,100,10,10,0,4,1048576,1000,10000,1,46118830,1000,21683,1
120,100,10,10,0,4,1048576,10000,10000,1,44110067,1000,22670,1
121,100,10,10,0,4,1048576,10000,10000,1,43340540,1000,23073,1
122,100,10,10,0,4,1048576,10000,10000,1,43810018,1000,22825,1
123,100,10,10,0,4,1048576,10000,10000,1,44256309,1000,22595,1
124,100,10,10,0,4,1048576,10000,10000,1,43481395,1000,22998,1
125,100,10,10,0,4,1048576,10000,10000,1,43160150,1000,23169,1
126,100,10,10,0,4,1048576,10000,10000,1,43670597,1000,22898,1
127,100,10,10,0,4,1048576,10000,10000,1,45268787,1000,22090,1
