new_index,task,node,repetition,xfersize,block_size,aggregate_size,agios_requests,requests_per_repetition,time_average,thread,block(MB),xfer(KB),speed,algo
0,9,9,5,1 MiB,1 GiB,9 GiB,92160,2048,27.692236199999996,10,1024,1024,332.80085918088486,mlf
1,9,9,5,2 MiB,1 GiB,9 GiB,46080,1024,22.029473199999998,10,1024,2048,418.34863304856515,mlf
2,9,9,5,262144 bytes,1 GiB,9 GiB,368640,8192,56.6085734,10,1024,256,162.80219490569252,mlf
3,9,9,5,4 MiB,1 GiB,9 GiB,23040,512,20.357822399999996,10,1024,4096,452.7006778485307,mlf
4,9,9,5,524288 bytes,1 GiB,9 GiB,184320,4096,36.432916,10,1024,512,252.95806682067393,mlf
5,9,9,5,1 MiB,1 GiB,9 GiB,92160,2048,28.836624399999998,10,1024,1024,319.5935790598292,noop
6,9,9,5,2 MiB,1 GiB,9 GiB,46080,1024,22.4532452,10,1024,2048,410.45291751412395,noop
7,9,9,5,262144 bytes,1 GiB,9 GiB,368640,8192,55.5388172,10,1024,256,165.93799552504694,noop
8,9,9,5,4 MiB,1 GiB,9 GiB,23040,512,21.022097000000002,10,1024,4096,438.39584604713787,noop
9,9,9,5,524288 bytes,1 GiB,9 GiB,184320,4096,36.122569000000006,10,1024,512,255.13135569067634,noop
10,9,9,5,1 MiB,1 GiB,9 GiB,92160,2048,27.803087800000004,10,1024,1024,331.4739739087541,sjf
11,9,9,5,2 MiB,1 GiB,9 GiB,46080,1024,22.6948146,10,1024,2048,406.08395188211847,sjf
12,9,9,5,262144 bytes,1 GiB,9 GiB,368640,8192,56.0682282,10,1024,256,164.37116520118607,sjf
13,9,9,5,4 MiB,1 GiB,9 GiB,23040,512,20.3208074,10,1024,4096,453.5252865986024,sjf
14,9,9,5,524288 bytes,1 GiB,9 GiB,184320,4096,36.0866048,10,1024,512,255.38562164762033,sjf
15,9,9,5,1 MiB,1 GiB,9 GiB,92160,2048,27.234621399999998,10,1024,1024,338.39280761949567,to
16,9,9,5,2 MiB,1 GiB,9 GiB,46080,1024,22.0722418,10,1024,2048,417.5380137417668,to
17,9,9,5,262144 bytes,1 GiB,9 GiB,368640,8192,56.5153476,10,1024,256,163.07074788300514,to
18,9,9,5,4 MiB,1 GiB,9 GiB,23040,512,19.7882186,10,1024,4096,465.7316652040624,to
19,9,9,5,524288 bytes,1 GiB,9 GiB,184320,4096,36.2336054,10,1024,512,254.34951609866567,to
20,9,9,5,1 MiB,1 GiB,9 GiB,92160,2048,27.262082,10,1024,1024,338.05195069107344,twins
21,9,9,5,2 MiB,1 GiB,9 GiB,46080,1024,22.7351336,10,1024,2048,405.36379341971406,twins
22,9,9,5,262144 bytes,1 GiB,9 GiB,368640,8192,56.419788399999995,10,1024,256,163.3469437116854,twins
23,9,9,5,4 MiB,1 GiB,9 GiB,23040,512,20.203235,10,1024,4096,456.1645696840135,twins
24,9,9,5,524288 bytes,1 GiB,9 GiB,184320,4096,36.1879944,10,1024,512,254.67009578182095,twins
